Utterance,Original_Labels,DeepSeek
I went to the coffeehouse! (neutral),Statement Non Opinion,Statement Non Opinion
I went to any place that they made sandwiches! (neutral),Statement Non Opinion,Statement Non Opinion
"That's the day you're gonna die? See--darnit, I've got shuffleboard that day. (neutral)",Statement Non Opinion,Statement Non Opinion
That's what you think. (neutral),Others,Disagreement
"Well, I mean what about friends of your grandmother's? Wouldn't they have the recipe? (neutral)",Question,Question
"Well, y'know I may have relatives in France who would know. My grandmother said she got the recipe from her grandmother, Nesele Tolouse. (neutral)",Statement Non Opinion,Statement Non Opinion
What was her name? (neutral),Question,Question
Nestley Toulouse. (neutral),Answer,Answer
Nestlé Toll House? (neutral),Question,Question
"Oh, you Americans always butcher the French language. (neutral)",Answer,Statement Opinion
Yes!! Oh. (surprise),Agreement,Acknowledge
I cannot believe that I just spent the last two days trying to figure out the recipe and it was in my cupboard the whole time! (anger),Acknowledge,Statement Opinion
I know! You see it is stuff like this which is why you're burning in hell!! (anger),Agreement,Statement Opinion
"So, we're decided, no on plaid, yes on pink? (neutral)",Question,Question
Absolutely! (joy),Answer,Agreement
I am so on board! (joy),Statement Non Opinion,Agreement
Rachel didn't you just light that? (neutral),Question,Question
"Yeah, I did, but y'know what? I am really, really trying to cut back, y'know? Good luck, Rach. (neutral)",Answer,Statement Non Opinion
I've actually been thinking about quitting lately. (neutral),Statement Non Opinion,Statement Non Opinion
"Oh sure, every Sunday night I'm telling myself I'm quitting but every Monday morning it's like (disgust)",Agreement,Statement Opinion
Tell me about it! (neutral),Command,Acknowledge
Well then let's just quit! We'll just quit! Let's all quit! (joy),Others,Statement Opinion
It does sound appealing. (neutral),Statement Non Opinion,Statement Opinion
"Oh, I never could do it. (joy)",Disagreement,Statement Opinion
Oh but you could. (neutral),Disagreement,Statement Opinion
You can. (neutral),Statement Opinion,Statement Opinion
Absolutely! (joy),Agreement,Agreement
We can help each other out! (joy),Statement Opinion,Statement Opinion
We can get--what are those--those patches! (neutral),Statement Non Opinion,Question
We could be like the Patch Sisters! (joy),Statement Opinion,Statement Opinion
"Oh y'know, we really should quit. Okay, let's quit! (joy)",Others,Agreement
Yes! Great! Give me those cigs! Give it! Give it! (joy),Command,Command
My late husband gave me that lighter. I'm not kidding. (sadness),Statement Non Opinion,Statement Non Opinion
Okay then! (joy),Others,Acknowledge
"Well, maybe it's a contest, y'know? Like, collect all five? (neutral)",Question,Statement Opinion
"Does, um, anyone wanna see? (neutral)",Question,Question
Nooo.. (disgust),Answer,Disagreement
"Oh, hey, don't do that! Cut it out! (anger)",Command,Command
It's worse than the thumb! (disgust),Statement Opinion,Statement Opinion
"Hey, this is so unfair! (anger)",Statement Non Opinion,Statement Opinion
"Oh, why is it unfair? (surprise)",Question,Question
So I have a flaw! (anger),Answer,Statement Opinion
Big deal! (anger),Others,Statement Opinion
Like Joey's constant knuckle-cracking isn't annoying? (anger),Question,Statement Opinion
"And Ross, with his over-pronouncing every single word? (anger)",Question,Statement Opinion
"And Monica, with that snort when she laughs? (anger)",Question,Statement Opinion
"I mean, what the hell is that thing? (disgust)",Question,Statement Opinion
"...I accept all those flaws, why can't you accept me for this? (anger)",Question,Statement Opinion
...Does the knuckle-cracking bother everybody? (anger),Question,Question
"Well, I-I could live without it. (neutral)",Answer,Statement Non Opinion
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair? (neutral)",Question,Question
"Oh, now, don't listen to him, Pheebs, I think it's endearing. (neutral)",Answer,Statement Opinion
"Oh, ""you do, do you""? (anger)",Question,Disagreement
"You know, there's nothing wrong with speaking correctly. (neutral)",Statement Non Opinion,Statement Opinion
"""Indeed there isn't""... I should really get back to work. (joy)",Statement Non Opinion,Statement Opinion
"Yeah, 'cause otherwise someone might get what they actually ordered. (neutral)",Agreement,Statement Non Opinion
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on. (anger)",Statement Non Opinion,Statement Opinion
Awww! Mel Torme died. (sadness),Others,Statement Non Opinion
"Joey, that paper's like a year old! (neutral)",Statement Opinion,Statement Non Opinion
Aw! Does that mean the (sadness),Others,Statement Non Opinion
Hey. (neutral),Greeting,Greeting
Hey. (neutral),Greeting,Greeting
You're sure? You're absolutely sure? (neutral),Question,Question
"Well, no. But, um, I bet she probably does. (neutral)",Answer,Statement Non Opinion
Probably? (neutral),Question,Question
"Yeah, I don't like that word. (disgust)",Answer,Statement Opinion
Kind of what 'probably' really means. (neutral),Statement Non Opinion,Statement Non Opinion
"Yeah, uh-huh. (neutral)",Agreement,Backchannel
"Yeah, oh, ""Your mom probably won't kill herself,"" y'know? (anger)",Question,Statement Opinion
"I'm sorry, but I'm not hanging all my hopes of Rachel and I living together on-on ""Probably!"" (anger)",Apology,Statement Opinion
You gotta take care of yourselves! (neutral),Statement Non Opinion,Command
In (neutral),Others,Others
"Bing doesn't seem so weird now, does it? (neutral)",Question,Question
Yoo-hoo! Aaron Litman-Neurolic would like to say hello to his future bride. (joy),Statement Non Opinion,Greeting
Ohhh! Wow! He kinda takes your breath away doesn't he? (joy),Question,Statement Opinion
He's a keeper. How are you feeling? (neutral),Question,Statement Opinion
"Oh, I'm fine. (neutral)",Answer,Answer
"Can I just say, I really admire what you're doing. Just raising her all alone. (neutral)",Statement Non Opinion,Statement Opinion
"Oh, I'm not doing it alone. I have Ross. (neutral)",Disagreement,Answer
"Oh, sure. Now. But what happens when he meets somebody else and gets married? (neutral)",Question,Question
"Well then he gets a divorce, it's Ross! (neutral)",Statement Non Opinion,Statement Non Opinion
"I'm telling you Rachel, listen to Janice. They all say they're gonna be there until they start their real family. (neutral)",Statement Opinion,Statement Opinion
Well I--That's never gonna happen with Ross. (sadness),Statement Non Opinion,Statement Opinion
"Oh well that's what I thought about my first husband, now I'm lucky if my kid gets to spend the weekend with her father and the twins and little Ms. New Boobs. (disgust)",Statement Non Opinion,Statement Opinion
"All this stuff takes up a lot of room. Hey how uh, how serious are you about keeping Ben in your life? (neutral)",Question,Question
"And Tim I just wanna say, good luck here. (neutral)",Statement Non Opinion,Statement Non Opinion
Hey. Who's that? (neutral),Question,Greeting
New people. (neutral),Answer,Statement Non Opinion
What happened to the Disgustingtons? (neutral),Question,Question
They're having their baby! (anger),Answer,Statement Opinion
It's not fair Ross we got here first! (anger),Statement Non Opinion,Statement Opinion
Right after you left they wheeled her off into delivery. (neutral),Statement Non Opinion,Statement Non Opinion
Oh but not before she gave me a juicy shot of little Jamie just crowning away. (neutral),Statement Non Opinion,Statement Non Opinion
"Wow! Sorry. So uh, how are the new people? (surprise)",Apology,Apology
Phoebe? (neutral),Question,Greeting
Yeah? (neutral),Question,Answer
"Look at that guy by the window, wow! (surprise)",Command,Statement Opinion
"He's awfully short and I think he's talking to himself. And to be completely honest, he's not that good in bed. (neutral)",Statement Non Opinion,Statement Opinion
"Oh, what is wrong with me lately? (sadness)",Question,Question
I mean it's like every guy I see--I mean look here. (neutral),Statement Non Opinion,Statement Non Opinion
"Look at that guy for example, I mean normally that's not someone I would-would be attracted to, but right now, with the way I'm feeling, all I want to do is rip off his sweatpants and fanny pack. (neutral)",Statement Non Opinion,Statement Opinion
"Wait a second! This is about the fourth month of your pregnancy, right? (neutral)",Question,Question
Yeah. (neutral),Answer,Answer
"This is completely normal, around the fourth month your hormones start going crazy. (neutral)",Statement Non Opinion,Statement Non Opinion
Really?! So this has happened to you? (surprise),Question,Question
Oh absolutely yeah! (neutral),Answer,Agreement
"Oh and keep in mind, now, I was carrying triplets so in, y'know, medical terms I was-I was thrice as randy. (neutral)",Statement Non Opinion,Statement Non Opinion
"Wow! This explains so much! Last weekend, I went from store to store sitting on Santa's lap. (joy)",Statement Non Opinion,Statement Opinion
"Yeah. Yeah, I remember trying to steal a cardboard cutout of Evander Holyfield from a (neutral)",Agreement,Acknowledge
Ugh! (disgust),Backchannel,Statement Non Opinion
I don't know what I'm going to do! (fear),Statement Non Opinion,Statement Opinion
I called the company that sent and th-they don't care! (anger),Statement Non Opinion,Statement Opinion
"Then I called 9-1-1 and they laughed at me, if this isn't an emergency, then what is? (anger)",Question,Question
Hey guys! (joy),Greeting,Greeting
Hey! (joy),Greeting,Greeting
Hey (neutral),Greeting,Greeting
"I just wanted to thank you again for last night, what a great party! (joy)",Acknowledge,Statement Opinion
And the guys from work had a blast. (joy),Statement Non Opinion,Statement Non Opinion
"Y'know, one of them had never been to a bachelor party before. (joy)",Statement Non Opinion,Statement Non Opinion
Yeah! (joy),Agreement,Acknowledge
"And-and another one had never been to a party before, so (surprise)",Statement Non Opinion,Statement Non Opinion
"So uh, hey, that uh, that wedding ring, huh? Man, that's nice! (joy)",Question,Statement Opinion
"Yeah, right! (joy)",Answer,Agreement
"I was uh, I was thinking I might want to pick one of those babies up for myself, I might want to get one of those (neutral)",Statement Non Opinion,Statement Opinion
"That ring? When my grandmother first came to this country, that ring and the clothes on her back were all she had with her. (surprise)",Statement Non Opinion,Statement Non Opinion
"So you might say, the ring is irreplaceable? (surprise)",Question,Question
"Oh absolutely! It has been in my family for generations, and every bride who has worn it has had a long and happy life. (joy)",Answer,Statement Opinion
"So you might say, it's a magic ring. (joy)",Statement Opinion,Statement Opinion
OH MY GOD!! I didn't really believe it until you just said it!! (surprise),Others,Statement Opinion
Well obviously only one of us can keep dating her. (neutral),Statement Non Opinion,Statement Non Opinion
"Obviously! So, how do we decide? (neutral)",Question,Agreement
"Well now let's-let's look at this objectively, I think I should date her (neutral)",Answer,Statement Opinion
Uh-huh. Uh-huh. (neutral),Backchannel,Backchannel
"That's interesting, but check this out. I date her (joy)",Statement Non Opinion,Statement Opinion
Yeah-yeah I like that but just to go in another direction (neutral),Agreement,Statement Opinion
"Okay, okay. This can go on for a while. (neutral)",Acknowledge,Statement Non Opinion
Yeah well we should order some food then. (neutral),Statement Non Opinion,Statement Non Opinion
"No Joey! Look why don't, why don't we just let her decide? Okay? Hey-hey, we'll (neutral)",Disagreement,Command
That sounds fair. (neutral),Statement Non Opinion,Agreement
Maybe I'll take her to that new French restaurant down the street (neutral),Statement Opinion,Statement Non Opinion
Ah yeah--wait a second now! (anger),Command,Disagreement
Look we're gonna have to set a spending limit on the date. (neutral),Statement Non Opinion,Statement Non Opinion
