Utterance,Emotion,"No,DS_r1_emotion"
"I think I can take care of myself, I'll talk to you later. (neutral)",neutral,anger
Good-bye. (neutral),neutral,anger
Whoa! (surprise),surprise,surprised
"Uh, that was your sister actually. (neutral)",neutral,neutral
She-she thinks that you're just using me. (neutral),neutral,fear
So? (neutral),neutral,neutral
I'm sorry. (sadness),sadness,sadness
What are you doing here?! (surprise),surprise,anger
"I-I, came to fill your ice cube trays. (neutral)",neutral,fear
What?! (surprise),surprise,surprised
"Umm, okay, okay, look. (neutral)",neutral,neutral
I took this picture from your fridge. (anger),anger,neutral
"Okay, because I know that this is my Father. (anger)",anger,neutral
"Yeah, this is Frank Buffay and you are standing right there next to him. (anger)",anger,neutral
"Now, look I deserve to know where I came from. (anger)",anger,anger
All right? (anger),anger,neutral
So if you can help me find my Father then you should! (anger),anger,anger
"Otherwise, you're just mean! (anger)",anger,anger
"So, just tell me the truth! (anger)",anger,anger
"All right, the man in the picture is Chuck Magioni. (neutral)",neutral,neutral
My Father is Chuck Magioni? (surprise),surprise,surprised
"No, no, that's just Chuck Magioni, I-I sold him a house last year! (neutral)",neutral,fear
"And I'm very sorry, but I don't know where your Father is, and that's the truth. (sadness)",sadness,sadness
Oh. (sadness),sadness,sadness
"But umm, you're right. (neutral)",neutral,neutral
I think that a person should know where they come from. (neutral),neutral,neutral
"Wh-which is why I ah, ahh, okay. (neutral)",neutral,fear
I'm your mother. (neutral),neutral,fear
Heh? (surprise),surprise,surprised
"Y'know I wanted to tell you yesterday, but I just, I kinda felt all floopy, and... (sadness)",sadness,fear
What's happening to your accent? (surprise),surprise,surprised
Come again? (surprise),surprise,neutral
What's-what's this nonsense? (fear),fear,anger
"All right, I'm-I'm not English. (sadness)",sadness,neutral
I'm from Long Island. (neutral),neutral,neutral
"I was really nervous and the accent just uh, just came out. (sadness)",sadness,fear
I'm sorry. (sadness),sadness,sadness
"So, if we could just get back to the lecture. (neutral)",neutral,neutral
"Umm, were there any questions? (neutral)",neutral,neutral
About paleontology. (neutral),neutral,neutral
"All right, look I was just trying to make a good first impression. (anger)",anger,neutral
"Obviously, I screwed up. (sadness)",sadness,sadness
But what you guys think of me is really important because I'm-I'm hoping to get a permanent job here. (neutral),neutral,fear
So if you just give me another chance to make a good impression (neutral),neutral,fear
Ross!! Are you crazy?! I am (anger),anger,anger
"Well, hello Rachel! (surprise)",surprise,joy
"Where you going, Joe? (neutral)",neutral,neutral
For a walk. (neutral),neutral,neutral
Oh. You mind if I join you? (neutral),neutral,neutral
"Actually, that will be long. You know, I really need to organize my thoughts. (neutral)",neutral,neutral
Your thoughts? Plural? (surprise),surprise,neutral
"Allright, fine, I only have one thought! It's about the hot nanny, I gotta see her! (joy)",joy,joy
"I'm afraid I can't let you do that, Joe. (neutral)",neutral,neutral
Now YOU'RE telling me I can't see her?? (anger),anger,surprised
You guys are killing me! (sadness),sadness,anger
She's forbidden fruit! (sadness),sadness,anger
"It's like ... like she's the princess and I'm the stable boy ... Why are you doing this, huh? (sadness)",sadness,anger
Did Ross tell you not to let me go over there? (neutral),neutral,anger
"Yes, as a matter of fact he did, so I can't let you go. (neutral)",neutral,neutral
Huh. Interesting. Now there are obstacles. Hot nanny and me against the world. This is the kind of stuff great novels are made of. (anger),anger,joy
Great novels? (surprise),surprise,surprised
Fine ... mediocre porn (neutral),neutral,neutral
"Okay, I think we can get the evaluation back before they see it, but we're gonna have to get into Mr. Zelner's office. (neutral)",neutral,neutral
"Now, he doesn't get in until 10, so he's no problem, but his assistant, Betty, she comes in early to eat her breakfast at her desk. (neutral)",neutral,neutral
That's kinda sad. (sadness),sadness,sadness
"Yeah, well Betty is kinda sad. Which is why I believe I can lure her away with these chocolates. Now, while I distract her, (neutral)",neutral,neutral
Got it! (joy),joy,joy
Let's roll! (joy),joy,joy
"Hello Rachel, you uh, got a minute? (neutral)",neutral,neutral
"Yeah, sure Mr. Zelner, for you anything--minute. Okay. Fine. Abort the plan, abort the plan. (neutral)",neutral,fear
"Uh actually, I'd like to speak with both of you. (neutral)",neutral,neutral
"Okay. Uh, well can we, can we get you anything Mr. Zelner? Maybe some chocolates? (neutral)",neutral,fear
"Cassie, are you finding everything okay in there? (neutral)",neutral,neutral
Yeah! Thank you so much for letting me stay here. (neutral),neutral,joy
Oh! No problem! I (joy),joy,joy
What? (surprise),surprise,surprised
You are iron. (neutral),neutral,anger
You are steel! (joy),joy,anger
"Let me ask you something, how come when I call your computer support line, I have to wait an hour and a half? (anger)",anger,anger
"I told you, we're adding new operators all the time. Could we concentrate on my training? (neutral)",neutral,neutral
"I mean why, of all people would you want to go out with Chip?! (surprise)",surprise,surprised
"Look, you and I went to different high schools... (neutral)",neutral,neutral
"Okay, that doesn't help me, because we went to the same high school. (neutral)",neutral,neutral
"You went to one where you were popular, and you got to ride off Chip's motorcycle, and wear his letterman jacket. (neutral)",neutral,neutral
I went to one where I wore a band uniform they had to have specially made. (sadness),sadness,sadness
They had to have that specially made?! (surprise),surprise,surprised
It was a project for one of the Home Ec classes. (neutral),neutral,neutral
"Oh my God, they told us that was for the mascot! (surprise)",surprise,surprised
"Back then, I thought that I would never, ever get the chance to go out with a Chip Matthews, and now he's-he's called me up and asked me out. (surprise)",surprise,joy
And the fat girl inside of me really wants to go. (joy),joy,joy
I-I owe her this. (neutral),neutral,sadness
I never let her eat. (neutral),neutral,sadness
"Oh, you go out with him. (neutral)",neutral,neutral
"Oh, really?! (surprise)",surprise,surprised
"Yeah. Just, if it's possible, could you leave him somewhere and go have sex with another guy? (neutral)",neutral,disgust
I'll try. (neutral),neutral,joy
"Hey! Tall guy! Hey, listen, I wanted to talk to you about that girl that you're dancing with. (neutral)",neutral,neutral
"Yeah, yeah, okay. (neutral)",neutral,neutral
"Uh, look buddy, I came with that girl, and I had this plan to kiss her at the new years countdown. I'm trying to win her over, so I was wondering if.. (joy)",joy,neutral
"Oh come on man, you can dance with my partner, she's real, uh, mellow! (anger)",anger,disgust
"Well, I was hoping after tonight that maybe I could you know (neutral)",neutral,fear
"Ross, get over it! It's not like she hates you. (anger)",anger,neutral
Yeah but (sadness),sadness,neutral
"Ross, she's not weird, she just wants her stuff to be one of a kind. (neutral)",neutral,neutral
Huh. Y'know what's not one of a kind? A twin! (anger),anger,neutral
"Ooh, Phoebe's here! Okay, let's turn out all the lights and we'll just watch the movie! (joy)",joy,joy
"Okay. Hey--Ooh, cool sheets! (joy)",joy,surprised
"Oh, you like it? You wanna know where I got it? (joy)",joy,neutral
Sure! (joy),joy,neutral
He got it a flea market! (joy),joy,neutral
"You bought your sheets at a flea market? Ross come on, you gotta loosen the purse strings a little. (disgust)",disgust,disgust
And Joey? (neutral),neutral,neutral
How do you think she's doing? (neutral),neutral,neutral
Am I the only one who doesn't think that she's hot? Ross? (surprise),surprise,surprised
"Eh, I mean, I mena she's not unattractive but hot? I .... (surprise)",surprise,neutral
Thank you! (joy),joy,joy
Now that Rachel's gone? (neutral),neutral,neutral
So hot I cried myself to sleep last night. (sadness),sadness,disgust
"Oh, god help us. (sadness)",sadness,surprised
What? (surprise),surprise,neutral
Ugly Naked Guy's laying kitchen tile. Eww! (disgust),disgust,disgust
"Eww! Look, I'm asking a favor here. If I do this for her brother, maybe Angela will come back to me. (disgust)",disgust,disgust
"I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please? (sadness)",sadness,sadness
"So honey, this morning was fun, huh? Me hopping in on you in the shower there. (joy)",joy,joy
Yeah! And maybe someday we could get a place with two bathrooms. (joy),joy,disgust
"Look Carol umm, I was, I was thinking maybe uh, maybe we can spice things up a little. (neutral)",neutral,neutral
What do you mean? (surprise),surprise,neutral
Carol our sex life is--it's just not working (sadness),sadness,sadness
Hey there little fella! (joy),joy,joy
"Hey, uh-hey, why don't we get some shoes on ya, huh? (neutral)",neutral,joy
"Hey, why don't you show dad how you can put your shoes on, in your room! (joy)",joy,joy
Yay! (joy),joy,joy
Yay! (joy),joy,joy
Yay! (joy),joy,joy
"Seriously, our sex life... I was thinking, maybe I don't know, we could try some-some new things. (neutral)",neutral,fear
For fun? (neutral),neutral,neutral
Like what? (surprise),surprise,neutral
"Well I don't know umm, what if we were too tie each other up? (joy)",joy,neutral
"Umm, some people eat stuff off one another. (neutral)",neutral,neutral
Nah! (disgust),disgust,neutral
"Umm, y'know we-we could try dirty talk? (neutral)",neutral,neutral
"Umm, we could, we could have a threesome. (neutral)",neutral,neutral
I love that idea! (joy),joy,joy
So who's idea was it to put everybody in the diner on skates? (neutral),neutral,neutral
"Oh, some idiot customer put a suggestion in the suggestion box. (anger)",anger,disgust
"Oh my God, they took my idea! (surprise)",surprise,joy
That was you?! (surprise),surprise,surprised
"Yeah! Okay, here you go. (joy)",joy,joy
"Rachel, I made you a cocoa. (neutral)",neutral,neutral
"Oh my God, are you guys okay? (surprise)",surprise,fear
Are you all right? (surprise),surprise,fear
Oh my. (surprise),surprise,surprised
Sit! (anger),anger,neutral
Hi. (neutral),neutral,neutral
"Oh my gosh, Joshua! (surprise)",surprise,surprised
All those things I said about not being ready (neutral),neutral,sadness
They're not true? (fear),fear,surprised
"No, they're-they're all true. (neutral)",neutral,sadness
Oh. (joy),joy,sadness
But (neutral),neutral,neutral
"Oh! Oh, I love that but. (surprise)",surprise,joy
You wanna go inside and have some coffee? (neutral),neutral,joy
Yeah. (neutral),neutral,neutral
Okay. Every time. (neutral),neutral,joy
"What, Phoebe, did you whip the potatoes? Ross needs lumps! (anger)",anger,anger
"Oh, I'm sorry, oh, I just, I thought we could have them whipped and then add some peas and onions. (sadness)",sadness,sadness
Why would we do that? (surprise),surprise,neutral
"Well, 'cause then they'd be like my mom used to make them, you know, before she died. (sadness)",sadness,sadness
"Ok, three kinds of potatoes coming up. (neutral)",neutral,neutral
"Ok, good-bye you guys. Thanks for everything. Oh, sorry! Oh, sorry! (joy)",joy,neutral
The most unbelievable thing has happened. Underdog has just gotten away. (surprise),surprise,surprised
The balloon? (neutral),neutral,neutral
"No, no, the actual cartoon character. Of course the balloon. It's all over the news. Right before he reached (neutral)",neutral,neutral
"I can't, I gotta go. (neutral)",neutral,neutral
Come on. An 80-foot inflatable dog let loose over the city. How often does that happen? (surprise),surprise,joy
Almost never. (anger),anger,neutral
Got the keys? (neutral),neutral,neutral
Ok. (neutral),neutral,neutral
What d'you think? (neutral),neutral,neutral
Lot of things. (neutral),neutral,neutral
Which one do you think she is? (neutral),neutral,neutral
May I help you? (neutral),neutral,neutral
"Oh, no thanks, we're just here to observe. (neutral)",neutral,neutral
You don't observe a dance class. You (neutral),neutral,anger
What does she mean? (neutral),neutral,surprised
I think she means 'You (neutral),neutral,neutral
